Country,Capital,Longitude,Lattitude,Language,Official
Finland,Helsinki,24.94,60.17,Swedish,TRUE
France,Paris,2.35,48.85,French,TRUE
French-Guiana,Cayenne,-52.33,4.93,French,TRUE
French-Polynesia,Papeete,-149.57,-17.53,French,TRUE
Gabon,Libreville,9.45,0.39,French,TRUE
Gambia(The),Banjul,-16.58,13.45,English,TRUE
Georgia,Tbilisi,44.83,41.69,Abkhazian,TRUE
Georgia,Tbilisi,44.83,41.69,Georgian,TRUE
Germany,Berlin,13.41,52.52,German,TRUE
Ghana,Accra,0.2,5.56,English,FALSE
Gibraltar,Gibraltar,-5.35,36.14,English,TRUE
Greece,Athens,23.72,37.98,Greek,TRUE
Greenland,Nuuk,-51.72,64.18,Greenlandic,TRUE
Grenada,St.-George's,-61.75,12.6,English,TRUE
Guadeloupe,Basse-Terre,-61.73,16,French,TRUE
Guam,Hagatna,144.75,13.48,Chamorro,TRUE
Guam,Hagatna,144.75,13.48,English,TRUE
Guatemala,New-Guatemala,-90.51,14.64,Spanish,TRUE
Guernsey,St-Peter-Port,-2.54,49.46,English,TRUE
Guinea,Conakry,-13.68,9.54,French,TRUE
Guinea-Bissau,Bissau,-15.6,11.86,Poruguese,TRUE
Guyana,Georgetown,-58.16,6.8,English,TRUE
Haiti,Port-au-Prince,-72.34,18.54,Haitian Creole,TRUE
Haiti,Port-au-Prince,-72.34,18.54,French,TRUE
Honduras,Tegucigalpa,-87.21,14.8,Spanish,TRUE
Hong-Kong(China),Hong-Kong(China),114.16,22.29,English,TRUE
Hong-Kong(China),Hong-Kong(China),114.16,22.29,Chinese,TRUE
Hungary,Budapest,19.4,47.5,Hungarian,TRUE
Iceland,Reykjavik,-21.9,64.14,Icelandic,TRUE
India,New-Delhi,77.22,28.64,English,TRUE
India,New-Delhi,77.22,28.64,Hindi,TRUE
Indonesia,Jakarta,106.85,-6.21,Indonesian,TRUE
Iran-Islamic-Rep.,Tehran,51.42,35.69,Persian,TRUE
Iraq,Baghdad,44.4,33.34,Arabic,TRUE
Iraq,Baghdad,44.4,33.34,Kurdish,TRUE
Ireland,Dublin,-6.25,53.33,English,TRUE
Ireland,Dublin,-6.25,53.33,Irish,TRUE
Isle-of-Man,Douglas,-4.48,54.15,English,TRUE
Israel,Jerusalem,31.77,35.23,Arabic,TRUE
Israel,Jerusalem,31.77,35.23,Hebrew,TRUE
Italy,Rome,12.48,41.89,Italian,TRUE
Jamaica,Kingston,-76.79,18,English,TRUE
Japan,Tokyo,139.69,35.69,Japanese,FALSE
Jersey,St.Helier,-2.1,49.19,English,TRUE
Jordan,Amman,35.95,31.96,Arabic,TRUE
Kazakhstan,Astana,71.45,51.18,Kazakh,TRUE
Kazakhstan,Astana,71.45,51.18,Russian,TRUE
Kenya,Nairobi,36.82,-1.28,English,TRUE
Kenya,Nairobi,36.82,-1.28,Kiswahili,TRUE
Kiribati,South-Tarawa,172.98,1.33,English,TRUE
Kiribati,South-Tarawa,172.98,1.33,Gilbertese,TRUE
Kosovo,Pristina,21.17,42.67,Albanian,TRUE
Kosovo,Pristina,21.17,42.67,Serban,TRUE
Kuwait,Kuwait-City,47.98,29.37,Arabic,TRUE
Kyrgyzstan,Bishkek,74.59,42.87,Kirghiz,TRUE
Kyrgyzstan,Bishkek,74.59,42.87,Russian,TRUE
Laos,Vientiane,102.6,17.97,Lao,TRUE
Latvia,Riga,24.11,56.95,Latvian,TRUE
Lebanon,Beirut,35.49,33.89,Arabic,TRUE
Lesotho,Maseru,27.48,-29.32,English,TRUE
Lesotho,Maseru,27.48,-29.32,Sesotho,TRUE
Liberia,Monrovia,-10.8,6.3,English,TRUE
Libya,Tripoli,13.19,32.88,Arabic,TRUE
Liechtenstein,Vaduz,9.52,47.14,German,TRUE
Lithuania,Vilnius,25.28,54.69,Lithuanian,TRUE
Luxembourg,Luxembourg,6.13,49.61,French,TRUE
Luxembourg,Luxembourg,6.13,49.61,German,TRUE
Luxembourg,Luxembourg,6.13,49.61,Luxembourgish,TRUE
Macao,Macao,113.55,22.2,Portuguese,TRUE
Macao,Macao,113.55,22.2,Standard Chinese,TRUE
Macedonia,Skopje,21.43,42,Macedonian,TRUE
Madagascar,Antananarivo,47.54,-18.91,French,TRUE
Madagascar,Antananarivo,47.54,-18.91,Malagasy,TRUE
Malawi,Lilongwe,33.79,-13.97,Chichewa,TRUE
